"speed","rr","lin","distance","timeper","cat","grpsize","calf","behav"
1.9,38.39,0.16,22.94,0.3,"None",1,0,"Forage"
3.01,44.42,0.28,121.57,0.2,"Trawler",10,0,"FSB"
1.46,36.89,0.9,89.13,0.2,"Trawler",5,0,"FSB"
1.7,27.91,0.28,139.04,0.2,"Trawler",10,0,"FSB"
2.9,35.72,0.8,105.43,0.2,"Trawler",10,0,"FSB"
3,9.2,0.99,128.99,0.3,"TT",10,0,"FSB"
3.37,11.08,0.95,217.74,0.2,"Trawler",5,0,"FSB"
3.39,35.66,0.89,245.7,0.2,"Trawler",5,0,"FSB"
3.42,17.74,0.96,199.81,0.3,"TT",10,0,"FSB"
3.44,23.13,0.09,218.59,0.2,"Trawler",5,0,"FSB"
3.57,5.51,0.99,100.4,0.2,"Trawler",7,0,"FSB"
4.29,45.4,0.55,195.34,0.3,"TT",10,0,"FSB"
5.92,13.38,0.98,107.69,0.3,"TT",10,0,"FSB"
0.73,46.41,0.66,292.43,0.3,"Mid",2,1,"Social"
5.58,1.89,0.99,188.79,0.4,"Tour",2,0,"Travel"
2.79,23.44,0.4,272.49,0.4,"TT",6,0,"FSB"
1.76,64.49,0.26,203.27,0.5,"Large",8,0,"Social"
3.36,18.23,0.47,111.65,0.5,"TT",8,0,"FSB"
4.21,7.96,0.97,276.52,0.5,"TT",8,0,"FSB"
4.4,36.3,0.61,120.42,0.5,"TT",8,0,"FSB"
2.35,38.66,0.7,198.1,0.6,"Small",5,0,"Travel"
2.97,51.24,0.22,174.77,0.7,"Tour",2,0,"Rest"
3.73,31.08,0.78,194.78,0.7,"Small",2,1,"Travel"
0.88,34.07,0.11,60.37,0.7,"Large",2,0,"Forage"
1.38,48.51,0.3,50.91,0.7,"Small",10,1,"Forage"
1.62,30.9,0.86,42.23,0.7,"Small",3,1,"Forage"
1.82,47.5,0.24,86.75,0.4,"Small",1,0,"Travel"
1.88,66.72,0.13,200.92,0.5,"Small",4,0,"Forage"
1.06,93.29,0.54,120.83,0.6,"Small",8,1,"Social"
4.12,20.6,0.59,163.05,0.4,"Tour",5,1,"FSB"
3.03,38.62,0.51,195.92,0.6,"TT",10,0,"FSB"
4.37,52.22,0.58,201.44,0.6,"Trawler",5,0,"FSB"
3.21,24.27,0.8,216.39,0.6,"Trawler",5,0,"FSB"
3.57,34.1,0.71,192.56,0.6,"TT",3,0,"Social"
2.37,33.31,0.11,256.66,0.4,"Small",1,0,"Forage"
1.5,51.96,0.09,163.12,0.5,"TT",6,1,"FSB"
2.56,33.78,0.33,174.14,0.5,"TT",2,0,"FSB"
3.07,13.14,0.98,81.05,0.4,"TT",8,0,"FSB"
3.36,7.55,0.99,153.75,0.4,"TT",8,0,"FSB"
5.56,17.94,0.94,155.83,0.5,"Trawler",6,0,"FSB"
0.49,72.2,0.54,120.03,0.6,"Mid",1,0,"Forage"
2.84,3.72,0.98,199.5,0.6,"Small",3,0,"Rest"
2.41,12.39,0.97,221.79,0.2,"Trawler",4,1,"FSB"
3.37,8.64,0.99,179.38,0.2,"Trawler",2,0,"FSB"
3.5,22.73,0.09,208.97,0.2,"Trawler",5,1,"FSB"
1.01,35.91,0.11,67.99,0.9,"None",1,0,"Travel"
0.83,91.05,0.3,68.83,0.6,"None",4,0,"Social"
0.95,55.53,0.09,66.65,0.5,"None",4,0,"Social"
0.96,84.58,0.19,80.36,0.6,"None",4,0,"Social"
1.86,60.74,0.33,93.35,0.5,"Small",5,0,"Social"
0.87,100.48,0.03,63.61,0.5,"Large",4,0,"Social"
0.76,20.12,0.09,79.15,0.4,"Small",1,1,"Forage"
2.26,9.34,0.94,105.12,0.4,"Small",6,1,"Social"
3.46,20.47,0.49,141.17,0.5,"TT",4,1,"FSB"
3.5,20.33,0.64,116.09,0.4,"TT",2,1,"FSB"
3.55,15.61,0.99,111.3,0.4,"TT",5,1,"FSB"
3.58,22.81,0.92,94.76,0.5,"TT",5,1,"FSB"
3.9,12.22,0.97,145.26,0.4,"TT",5,1,"FSB"
3.92,18.63,0.8,218.43,0.5,"Trawler",5,1,"FSB"
4.19,7.52,0.99,79.38,0.5,"Tour",5,1,"FSB"
4.36,10.62,0.98,298.92,0.4,"Trawler",5,1,"FSB"
0.76,72.01,0.52,30.88,0.6,"Mid",8,0,"Forage"
0.91,107.5,0.06,23.77,0.6,"Tour",5,0,"Forage"
1,103.36,0.12,28.97,0.6,"Tour",5,0,"Forage"
1.21,48.94,0.62,42.54,0.6,"Tour",5,0,"Social"
2.9,12.1,0.91,131.11,0.4,"None",4,0,"Social"
1.57,72.47,0.47,84.67,0.7,"Small",2,0,"Forage"
2.1,44.77,0.24,74.4,0.7,"None",3,0,"Forage"
4.83,5.21,0.99,202.02,0.4,"Small",7,0,"Social"
0.85,57.54,0.7,215.42,0.5,"Tour",7,0,"Social"
1.06,30.26,0.15,206.9,0.5,"Mid",7,0,"Social"
1.26,21.88,0.7,221.91,0.4,"Mid",6,0,"Social"
1.34,68.59,0.58,168.63,0.5,"Tour",5,0,"Social"
1.91,23.17,0.89,234.21,0.5,"Tour",2,0,"Social"
