Country,TotalCases,TotalDeaths,TotalTests,Population
Faeroe Islands,34658,28,778000,49233
Haiti,34542,860,132422,11680283
Mali,33164,743,804909,21473764
Cayman Islands,31472,37,222773,67277
Saint Lucia,30215,410,210983,185113
Benin,28036,163,604310,12784726
Somalia,27334,1361,400466,16841795
Micronesia,26547,65,82430,117489
San Marino,26185,128,196855,34085
Solomon Islands,25954,199,,721159
Congo,25375,386,347815,5797805
Timor-Leste,23460,138,278529,1369429
Macao,22706,123,7850,667490
Burkina Faso,22109,400,248995,22102838
Liechtenstein,21572,94,112457,38387
Gibraltar,20550,113,534283,33704
Grenada,19693,238,182981,113475
Bermuda,18860,165,1029558,61939
South Sudan,18819,147,410280,11618511
Nicaragua,18491,225,,6779100
Tajikistan,17786,125,,9957464
Equatorial Guinea,17229,183,365697,1496662
Monaco,17181,67,78646,39783
Samoa,17006,31,187397,202239
Tonga,16950,13,535009,107749
Marshall Islands,16138,17,,60057
Dominica,16038,74,229344,72344
Djibouti,15690,189,305941,1016097
CAR,15440,113,81294,5016678
Gambia,12626,372,155686,2558482
Saint Martin,12324,63,112382,39730
Vanuatu,12019,14,24976,321832
Greenland,11971,21,164926,56973
Yemen,11945,2159,329592,31154867
Caribbean Netherlands,11682,38,30126,26647
Sint Maarten,11051,92,62056,43966
Eritrea,10189,103,23693,3662244
Niger,9931,312,254538,26083660
St. Vincent Grenadines,9674,124,114197,111551
Guinea-Bissau,9614,177,145231,2063367
Comoros,9109,161,,907419
Antigua and Barbuda,9106,146,18901,99509
Liberia,8090,295,139824,5305117
Sierra Leone,7779,126,259958,8306436
Chad,7701,194,191341,17413580
British Virgin Islands,7392,64,107339,30596
Cook Islands,7203,2,19690,17571
Sao Tome and Principe,6751,80,29600,227679
Turks and Caicos,6749,40,616670,39741
Saint Kitts and Nevis,6607,48,126958,53871
Palau,6279,10,71280,18233
St. Barth,5507,6,78646,9945
Nauru,5393,1,20509,10903
Kiribati,5085,24,,123419
Anguilla,3904,12,51382,15230
Wallis and Futuna,3550,8,20508,10982
Saint Pierre Miquelon,3452,2,25400,5759
Tuvalu,2943,1,,12066
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
