country,code,year,meningitis,alzheimer.s_diesease,parkinson.s_disease,nutritional_deficiency,malaria,drowning,interpersonal_violence,maternal_disorders,hiv.aids,drug_use_disorders,tuberculosis,cardiovascular_diseases,lower_respiratory_infections,neonatal_disorders,alcohol_use_disorders,self_harm,exposure_to_forces_of_nature,diarrheal_diseases,environmental_heat_and_cold_exposure,neoplasms,conflict_and_terrorism,diabetes_mellitus,chronic_kidney_disease,poisonings,protein_energy_malnutrition,road_injuries,chronic_respiratory_diseases,chronic_liver_diseases,digestive_diseases,fire_heat_hot_substance,acute_hepatitis
Austria,AUT,2019,31,4802,1040,12,0,56,70,3,35,140,50,32998,1205,115,517,1418,11,125,35,22258,0,2340,3367,31,2,491,3406,1809,3237,42,3
Congo,COG,2019,284,309,82,275,2102,89,245,392,4275,23,1961,7096,2033,2002,55,423,0,1879,19,3363,0,1169,701,69,259,1521,997,1071,1722,85,32
Philippines,PHL,2019,2056,10473,2429,3611,46,4792,15570,1859,5222,325,29181,204311,58413,23673,1105,4569,8,8392,192,81321,419,27680,33358,191,3011,10945,33229,14287,27945,1004,137
Cameroon,CMR,2019,2791,1505,502,965,22652,609,916,2917,23172,79,6551,26491,17015,15688,187,2260,43,17856,128,14258,626,5187,4783,406,899,6401,4166,4131,7137,572,378
Yemen,YEM,2019,479,1731,413,1010,5089,843,820,1705,347,261,1029,55752,6289,18982,82,1560,0,6614,43,12681,13402,1815,2676,450,941,11717,5738,2786,4877,839,523
Paraguay,PRY,2019,65,1261,214,304,0,181,823,114,570,15,242,9912,1474,549,318,427,17,181,6,6141,0,2447,1883,12,298,1501,1148,750,1668,60,2
Turkey,TUR,2019,351,19721,3838,1043,0,694,1605,284,226,345,833,176663,14868,6943,240,2585,0,732,44,104816,309,19699,19193,453,688,7749,32981,7349,14116,419,130
North Korea,PRK,2019,223,5208,1296,443,2,1352,827,182,761,338,3242,102586,6998,1855,384,2954,0,289,109,40841,0,4066,4318,445,364,8382,31704,5171,9205,305,125
Niger,NER,2019,7772,854,238,2449,23822,891,1962,3504,1423,14,5882,17201,23642,22546,101,972,0,28694,124,6976,395,2108,2201,482,2371,2785,3619,3325,6499,708,355
Sudan,SDN,2019,662,2815,710,795,2337,1256,626,2413,5155,380,1110,74371,7026,21418,100,2029,0,6732,59,17100,101,2818,4754,612,725,7349,7191,4100,6314,1110,1083
Benin,BEN,2019,1975,695,190,820,13264,384,898,1320,2033,15,2624,11418,9053,12609,68,742,0,5268,74,5247,1,1537,1581,222,783,1937,1888,1943,3465,312,165
